iter	Passed	Remaining
573	50261	37301
574	50343	37210
575	50441	37130
576	50541	37052
577	50633	36967
578	50723	36881
579	50818	36799
580	50907	36713
581	50999	36628
582	51087	36541
583	51178	36455
584	51266	36368
585	51356	36282
586	51444	36195
587	51536	36110
588	51628	36026
589	51717	35939
590	51809	35854
591	51904	35771
592	51996	35687
593	52089	35603
594	52189	35523
595	52283	35440
596	52379	35358
597	52469	35272
598	52567	35191
599	52657	35104
600	52762	35028
601	52873	34956
602	52974	34877
603	53065	34791
604	53158	34706
605	53247	34619
606	53340	34535
607	53430	34448
608	53532	34369
609	53628	34286
610	53729	34207
611	53819	34120
612	53911	34035
613	54011	33954
614	54106	33871
615	54200	33787
616	54296	33704
617	54382	33614
618	54471	33527
619	54559	33439
620	54647	33351
621	54733	33262
622	54824	33176
623	54918	33092
624	55008	33005
625	55107	32923
626	55198	32837
627	55292	32752
628	55385	32667
629	55478	32582
630	55571	32497
631	55665	32412
632	55754	32325
633	55851	32242
634	55942	32156
635	56035	32070
636	56127	31984
637	56219	31898
638	56305	31809
639	56396	31722
640	56489	31637
641	56584	31553
642	56679	31468
643	56773	31384
644	56892	31313
645	56984	31226
646	57075	31140
647	57170	31055
648	57260	30968
649	57355	30883
650	57443	30795
651	57540	30711
652	57631	30625
653	57724	30539
654	57816	30453
655	57908	30366
656	58001	30280
657	58092	30194
658	58186	30108
659	58277	30021
660	58368	29935
661	58457	29846
662	58551	29761
663	58642	29674
664	58731	29586
665	58816	29496
666	58903	29407
667	58992	29319
668	59079	29230
669	59165	29141
670	59255	29053
671	59342	28964
672	59430	28876
673	59522	28789
674	59613	28702
675	59702	28614
676	59798	28530
677	59892	28444
678	59980	28356
679	60074	28270
680	60167	28184
681	60252	28094
682	60345	28008
683	60430	27918
684	60529	27834
685	60620	27747
686	60708	27659
687	60796	27570
688	60887	27483
689	60975	27394
690	61066	27307
691	61152	27218
692	61242	27130
693	61334	27043
694	61421	26954
695	61515	26868
696	61605	26781
697	61696	26693
698	61785	26605
699	61873	26517
700	61962	26429
701	62050	26340
702	62141	26253
703	62229	26164
704	62319	26077
705	62410	25989
706	62501	25902
707	62593	25815
708	62690	25730
709	62783	25644
710	62887	25561
711	62980	25475
712	63094	25396
713	63223	25324
714	63332	25244
715	63439	25163
716	63548	25082
717	63660	25003
718	63762	24919
719	63869	24838
720	63971	24754
721	64070	24669
722	64161	24581
723	64276	24503
724	64385	24422
725	64487	24338
726	64592	24255
727	64694	24171
728	64805	24090
729	64900	24004
730	64997	23918
731	65107	23837
732	65204	23751
733	65303	23665
734	65398	23578
735	65492	23491
736	65587	23404
737	65674	23315
738	65768	23228
739	65858	23139
740	65950	23051
741	66037	22961
742	66128	22873
743	66217	22784
744	66308	22696
745	66399	22608
746	66492	22520
747	66583	22431
748	66672	22342
749	66756	22252
750	66845	22163
751	66936	22074
752	67021	21984
753	67110	21895
754	67198	21806
755	67287	21717
756	67376	21628
757	67473	21541
758	67562	21452
759	67652	21363
760	67739	21274
761	67827	21184
762	67909	21093
763	67998	21004
764	68082	20914
765	68169	20824
766	68256	20735
767	68342	20645
768	68430	20555
769	68523	20467
770	68608	20377
771	68695	20288
772	68781	20198
773	68865	20107
774	68951	20018
775	69038	19928
776	69123	19838
777	69208	19748
778	69290	19657
779	69376	19567
780	69464	19478
781	69549	19388
782	69635	19298
783	69720	19208
784	69801	19117
785	69889	19028
786	69970	18937
787	70057	18847
788	70138	18756
789	70220	18666
790	70302	18575
791	70387	18485
792	70475	18396
793	70562	18307
794	70642	18216
795	70726	18125
796	70807	18034
797	70891	17945
798	70976	17855
799	71061	17765
800	71143	17674
801	71228	17585
802	71311	17494
803	71395	17404
