iter	Passed	Remaining
336	71193	140062
337	71238	139527
338	72113	140609
339	72266	140282
340	73155	141377
341	73175	140787
342	73256	140318
343	74132	141368
344	75008	142407
345	75888	143441
346	75918	142866
347	76808	143904
348	76823	143301
349	76907	142828
350	77501	143301
351	78095	143765
352	78974	144748
353	78994	144154
354	79152	143811
355	79306	143464
356	79353	142925
357	79506	142578
358	80386	143531
359	80977	143959
360	80998	143374
361	81884	144315
362	82475	144729
363	82556	144246
364	82575	143659
365	82658	143184
366	82673	142594
367	82694	142018
368	83575	142916
369	84166	143310
370	85044	144186
371	85072	143616
372	85951	144481
373	85997	143941
374	86298	143830
375	86313	143243
376	87190	144084
377	87236	143547
378	87281	143012
379	88164	143847
380	88460	143719
381	88506	143185
382	89384	143996
383	90263	144797
384	91139	145587
385	92014	146364
386	92604	146684
387	93489	147462
388	93537	146919
389	93618	146428
390	93633	145838
391	93927	145684
392	94227	145536
393	94257	144975
394	95138	145718
395	96016	146448
396	96894	147172
397	97771	147886
398	98653	148598
399	98806	148209
